order_id,customer_id,customer_name,product_id,product_name,category,sub_category,order_date,delivery_date,order_quantity,unit_price,total_price,discount,payment_method,city,state,country,region,salesperson_id,salesperson_name,return_status,,
ORD2744,CUST3644,Emma Watson,PROD693,tablet,Accessories,Headphones,23-04-2023,29-04-2023,7,1905.25,13336.75,2.56,DEBIT card,New York,CA,USA,Central,SP93,Alice,,ORD2744-Emma Watson-tablet-7,1
ORD8144,CUST4920,Michael Johnson,PROD607,Phone,Accessories,Headphones,02-06-2023,04-06-2023,5,661.74,3308.7,24.15,credit card,Los Angeles,IL,USA,West,SP18,Bob,Not Returned,ORD8144-Michael Johnson-Phone-5,1
ORD8879,CUST4273,John Doe,PROD987,KEYBOARD,Furniture,Table,07-06-2023,10-06-2023,3,1333.15,3999.45,-30.93,DEBIT card,New York,TX,USA,Central,SP31,Alice,,ORD8879-John Doe-KEYBOARD-3,1
ORD7819,CUST5800,Robert Brown,PROD167,KEYBOARD,Electronics,Phone,12-01-2023,07-01-2023,10,1598.47,15984.7,22.41,DEBIT card,Los Angeles,AZ,USA,West,SP70,Emma,Returned,ORD7819-Robert Brown-KEYBOARD-10,1
ORD6038,CUST1506,Emma Watson,PROD380,tablet,Furniture,Chair,18-06-2023,17-06-2023,5,1184.75,5923.75,,DEBIT card,New York,IL,USA,West,SP16,Emma,Returned,ORD6038-Emma Watson-tablet-5,1
ORD7841,CUST8555,Alice Smith,PROD771,KEYBOARD,Accessories,Keyboard,01-12-2023,08-12-2023,7,1814.93,12704.51,14.11,Cash,Chicago,NY,USA,South,SP56,Alice,Returned,ORD7841-Alice Smith-KEYBOARD-7,1
ORD8149,CUST8268,Michael Johnson,PROD149,Monitorr,Furniture,Sofa,24-10-2023,22-10-2023,2,1368.66,2737.32,38.16,Cash,Los Angeles,AZ,USA,East,SP75,David,Not Returned,ORD8149-Michael Johnson-Monitorr-2,1
ORD2501,CUST3897,Emma Watson,PROD672,HeadPhons,Furniture,Sofa,24-01-2023,20-01-2023,3,572.74,1718.22,16.59,Online Payment,Houston,NY,USA,North,SP46,Bob,,ORD2501-Emma Watson-HeadPhons-3,1
ORD9537,CUST9195,Emma Watson,PROD530,Monitorr,Appliances,Washing Machine,InvalidDate,InvalidDate,6,1432.09,8592.54,46.7,Cash,Houston,CA,USA,South,SP23,David,,ORD9537-Emma Watson-Monitorr-6,1
ORD8424,CUST6427,Robert Brown,PROD302,KEYBOARD,Appliances,Microwave,07-04-2023,05-04-2023,8,1321.76,10574.08,0.18,DEBIT card,Los Angeles,TX,USA,North,SP51,Bob,Returned,ORD8424-Robert Brown-KEYBOARD-8,1
ORD7802,CUST3609,Alice Smith,PROD355,HeadPhons,Accessories,Mouse,17-02-2023,22-02-2023,10,1391.72,13917.2,,credit card,Los Angeles,CA,USA,South,SP53,Charlie,,ORD7802-Alice Smith-HeadPhons-10,1
ORD5934,CUST2144,Alice Smith,PROD286,tablet,Electronics,Laptop,23-01-2023,03-02-2023,9,1229.92,11069.28,23.88,Credit Card,Chicago,AZ,USA,East,SP49,David,Returned,ORD5934-Alice Smith-tablet-9,1
ORD4328,,John Doe,PROD321,Phone,Electronics,Tablet,13-09-2023,18-09-2023,2,382.31,764.62,10.98,Credit Card,Houston,NY,USA,North,SP91,Bob,,ORD4328-John Doe-Phone-2,1
ORD7280,,Alice Smith,PROD405,HeadPhons,Electronics,Phone,20-05-2023,19-05-2023,3,1070.38,3211.14,39.8,online payment,Los Angeles,NY,USA,East,SP81,Emma,Returned,ORD7280-Alice Smith-HeadPhons-3,1
ORD6172,CUST9515,John Doe,PROD320,Laptop,Furniture,Table,05-09-2023,12-09-2023,4,1199.09,4796.36,44.14,credit card,Los Angeles,NY,USA,East,SP99,Charlie,Returned,ORD6172-John Doe-Laptop-4,1
ORD1462,CUST7313,Emma Watson,PROD964,tablet,Furniture,Sofa,23-01-2023,24-01-2023,4,442.24,1768.96,18.7,Credit Card,Houston,NY,USA,East,SP77,Bob,Not Returned,ORD1462-Emma Watson-tablet-4,1
ORD4923,CUST7833,Alice Smith,PROD131,tablet,Accessories,Keyboard,29-03-2023,29-03-2023,2,1079.88,2159.76,3.79,online payment,Los Angeles,CA,USA,East,SP84,Bob,Returned,ORD4923-Alice Smith-tablet-2,1
ORD5835,CUST9803,Emma Watson,PROD918,HeadPhons,Electronics,Phone,08-12-2023,09-12-2023,7,1317.72,9224.04,42.41,Credit Card,Chicago,TX,USA,East,SP75,Alice,Not Returned,ORD5835-Emma Watson-HeadPhons-7,1
ORD8429,CUST9751,Emma Watson,PROD870,Phone,Furniture,Chair,25-10-2023,22-10-2023,1,1175.93,1175.93,,DEBIT card,Phoenix,NY,USA,East,SP38,David,Not Returned,ORD8429-Emma Watson-Phone-1,1
ORD7184,CUST8184,Robert Brown,PROD515,Laptop,Appliances,Microwave,19-09-2023,15-09-2023,4,1042.45,4169.8,48.86,credit card,Los Angeles,AZ,USA,East,SP83,David,,ORD7184-Robert Brown-Laptop-4,1
ORD9185,CUST1979,Alice Smith,PROD445,Laptop,Appliances,Refrigerator,12-05-2023,21-05-2023,1,251.47,251.47,26.97,Online Payment,Houston,NY,USA,West,SP85,David,Returned,ORD9185-Alice Smith-Laptop-1,1
ORD9935,CUST7527,Michael Johnson,PROD647,tablet,Accessories,Mouse,27-09-2023,08-10-2023,9,1435.35,12918.15,36.33,online payment,Houston,TX,USA,North,SP96,Alice,Not Returned,ORD9935-Michael Johnson-tablet-9,1
ORD2623,CUST1653,Alice Smith,PROD896,Phone,Furniture,Table,13-09-2023,28-09-2023,10,785.52,7855.2,5.53,Online Payment,Houston,AZ,USA,East,SP35,Bob,,ORD2623-Alice Smith-Phone-10,1
ORD2527,CUST9381,Robert Brown,PROD602,Laptop,Electronics,Tablet,15-10-2023,20-10-2023,10,1457.71,8865.92,22.25,Credit Card,Chicago,AZ,USA,North,SP32,David,Not Returned,ORD2527-Robert Brown-Laptop-10,1
ORD3831,CUST8209,Emma Watson,PROD400,Monitorr,Furniture,Chair,13-07-2023,23-07-2023,3,425.68,1277.04,20.37,credit card,New York,NY,USA,Central,SP44,Emma,Not Returned,ORD3831-Emma Watson-Monitorr-3,1
ORD8406,CUST3032,Michael Johnson,PROD392,Monitorr,Electronics,Phone,13-10-2023,23-10-2023,6,155.63,933.78,9.17,Credit Card,Los Angeles,AZ,USA,South,SP55,Alice,,ORD8406-Michael Johnson-Monitorr-6,1
